Date,Initials,Supplier,Location,Contact,PO#,Notes,Material,Weight / lbs,PU Date,Carrier,Border Crossing, Rate $ , Invoice Approved ,Rate,B/L sent,Customs
2024-10-02,MD,Leveltek,"Benwood, WV",Kelly,C209077,,"SSH 201LN 1/4 HARD PAPER .090 x 48"" x 96""/ 120""","30,640lbs",2024-10-03,Essence - H. Bill,"Lansdowne, ON","$1,850.00",2024-10-09,Y,Y,Y
2024-10-03,PG,Main Steel,"Harmony, PA",Mark,C209127,,"SSH 304L 2B NO PAPER .063 x 60"" x 380' / 420'","42,860lbs",2024-10-07,Essence,"Lansdowne, ON","$1,750.00",,Y,Y,Y
2024-10-07,MD,Ta Chen,"Burlington, NJ",Andrew,P215682,,"SSH 304L 2B PAPER 8ga x 60"" x 48"" x 120""","12,196lbs",2024-10-08,Formule Transit,"Lacolle, QC",$950.00,2024-10-09,Y,Y,Y
2024-10-08,PG,Main Steel,"Harmony, PA",Mark,C209137,,"SSH 304L 2B NO PAPER .063 x 60"" x 420'/ 380'","32,554lbs",2024-10-09,Essence - Aaron Xpress,"Alexandria Bay, NY","$1,750.00",2024-10-10,Y,Y,Y
2024-09-12,UT,Amerinox,"Camden, NJ",Rick,C209106,,"SPL 304L X4 4228 REF 3/16"" x 60"" x 120""","8,890lbs",2024-10-10,Formule Transit,"Lacolle, QC","$1,400.00",2024-10-16,Y,Y,Y
2024-09-13,MD,Amerinox,"Camden, NJ",Rick,C209113,,"304L X4 , 3/16"" X 48 X 96 /120","9,155lbs",,,,,,Y,Y,Y
2024-10-04,UT,Penn Stainless,"Quakertown, PA",Cathy,P215675,,"SPL 410S HRAP NO PAPER 1/4"" x 96"" x 120""",893lbs,,,,,,Y,Y,Y
2024-10-04,UT,Penn Stainless,"Quakertown, PA",Cathy,P215678,,"SSH 17-4PH PAPER .063 x 36"" x 120""",822lbs,,,,,,Y,Y,Y
2024-10-04,MD,Amerinox,"Camden, NJ",Rick,C209131,,"SSH 316L 2B 4228 REF 7ga x 60"" x 120""","16,395lbs",2024-10-16,Alain Giroux,"Lacolle, QC","$1,400.00",2024-10-22,Y,Y,Y
2024-10-09,MD,Amerinox,"Camden, NJ",Rick,C209140,,"304L 4228 - 1/4"" x 48"" x / 96 / 120""","26,915lbs",,,,,,Y,Y,Y
2024-10-09,PG,Phoenix Tubes,"Bethlehem, PA",Illy,P215696,,"316L #4 3"" x 1/8"" x 20'",500lbs,,,,,,Y,Y,Y
2024-10-02,MD,Leveltek,"Benwood, WV",Kelly,C209076,,"SSH 201LN 1/4 HARD PAPER .090 x 48""x 96"" / 138""","30,210lbs",2024-10-17,Essence - 7/24 ,"Lansdowne, ON","$1,850.00",2024-10-22,Y,Y,Y
2024-10-07,UT,Amerinox,"Camden, NJ",Rick,C209136,,"SPL 304L HRAP NO PAPER 3/16"" x 60"" x 96""/ 120""/ 240""","20,340lbs",2024-10-17,Formule Transit,"Lacolle, QC","$1,400.00",,Y,Y,Y
2024-10-03,MD,Amerinox,"Camden, NJ",Rick,C209129,,"7ga x 48"" x 216 / 230 / 252""","34,130lbs",2024-10-18,Formule Transit,"Lacolle, QC","$1,400.00",2024-10-28,Y,Y,Y
2024-10-02,PG,Spectrum Metals,"Warminster, PA",Patrick,P215667,,"430 #4 20ga x 1.813"" x coil","10,679lbs",,,,,,Y,Y,Y
2024-10-08,PG,Main Steel,"Harmony, PA",Mark,C209141,,"SSH 201LN 1/4 HARD PAPER .050 x 48"" x 120""","35,360lbs",2024-10-23,Essence - Propeller,"Fort Erie, ON","$1,750.00",2024-10-29,Y,Y,Y
2024-10-21,UT,Amerinox,"Camden, NJ",Rick,C209160,,"SPL 304L HRAP NO PAPER 3/16"" x 48"" x 120""/ 144""/240""","22,287lbs",2024-10-24,Formule Transit,"Lacolle, QC","$1,500.00",2024-10-28,Y,Y,Y
2024-10-17,PG,Spectrum Metals,"Warminster, PA",Patrick,P215667,,"430 #4 20ga x 1.813"" x coil","3,320lbs",,,,,,Y,Y,Y
2024-10-08,UT,Polished Metals,"Hillside, NJ",Austin,P215690,,"SSH 304 X 6 4228 REF 12ga / 16ga / 22ga x 48"" x 96""","7,443lbs",,,,,,Y,Y,Y
